Id,Name,Score,Date
1001, Lionel Messi, 250545, 10/05/2020
2002, Cristiano Ronaldo, 345678, 15/09/2020
3003, Neymar Jr., 123456, 20/12/2020
4004, Kylian Mbappé, 987654, 05/02/2021
5005, Robert Lewandowski, 876543, 18/04/2021
6006, Kevin De Bruyne, 234567, 30/06/2021
7007, Sergio Ramos, 456789, 12/08/2021
8008, Mohamed Salah, 567890, 25/10/2021
9009, Sadio Mané, 678901, 05/12/2021
1010, Virgil van Dijk, 789012, 15/01/2022
1111, Luka Modrić, 890123, 28/03/2022
1212, Harry Kane, 901234, 10/05/2022
1313, Paul Pogba, 210987, 20/07/2022
1414, Antoine Griezmann, 321098, 05/09/2022
1515, Eden Hazard, 432109, 15/11/2022
1616, Luis Suárez, 543210, 25/01/2023
1717, Gareth Bale, 654321, 08/03/2023
1818, Karim Benzema, 765432, 20/05/2023
1919, Raheem Sterling, 876543, 02/07/2023
2020, Romelu Lukaku, 987654, 15/09/2023
2121, Manuel Neuer, 543210, 28/11/2023
2222, Toni Kroos, 654321, 10/01/2024
2323, Robert Firmino, 765432, 20/03/2024
2424, Thiago Alcântara, 876543, 02/05/2024
2525, Adele, 450000, 13/06/2020
2626, Beyoncé, 560000, 25/07/2020
2727, Ed Sheeran, 300000, 08/09/2020
2828, Taylor Swift, 400000, 20/10/2020
2929, Justin Bieber, 420000, 02/12/2020
3030, Rihanna, 380000, 14/01/2021
3131, Bruno Mars, 320000, 26/02/2021
3232, Lady Gaga, 470000, 10/04/2021
3333, Drake, 390000, 22/05/2021
3434, Ariana Grande, 450000, 03/07/2021
3535, Katy Perry, 430000, 15/08/2021
3636, Shawn Mendes, 370000, 27/09/2021
3737, Selena Gomez, 410000, 09/11/2021
3838, The Weeknd, 440000, 21/12/2021
3939, Billie Eilish, 460000, 02/02/2022
4040, Dua Lipa, 350000, 16/03/2022
4141, Post Malone, 430000, 28/04/2022
4242, Harry Styles, 410000, 10/06/2022
4343, Demi Lovato, 480000, 22/07/2022
4444, John Legend, 390000, 03/09/2022
4545, Shawn Mendes, 370000, 15/10/2022
4646, Dua Lipa, 460000, 27/11/2022
4747, Post Malone, 420000, 09/01/2023
4848, Billie Eilish, 440000, 21/02/2023
4949, Ariana Grande, 490000, 05/04/2023